Formulation Cast3M;Modèle Cast3M;Description courte;Équivalent pyrucast
LIAISON;POINT_POINT DEPLACEMENT_PLASTIQUE;Liaison point-point à déplacement plastique;—
LIAISON;POINT_POINT ROTATION_PLASTIQUE;Liaison point-point à rotation plastique;—
LIAISON;POINT_CERCLE;Liaison point-cercle (options MOBILE, FROTTEMENT);—
LIAISON;CERCLE_PLAN FROTTEMENT;Liaison cercle-plan avec frottement;—
LIAISON;CERCLE_CERCLE FROTTEMENT;Liaison cercle-cercle avec frottement;—
LIAISON;PROFIL_PROFIL INTERIEUR / EXTERIEUR;Liaison profil-profil (intérieure ou extérieure);—
LIAISON;LIGNE_LIGNE FROTTEMENT;Liaison ligne-ligne avec frottement;—
LIAISON;LIGNE_CERCLE FROTTEMENT;Liaison ligne-cercle avec frottement;—
LIAISON;PALIER_FLUIDE RHODE_LI;Palier fluide (modèle de Rhode & Li);—
LIAISON;COUPLAGE DEPLACEMENT / VITESSE;Couplage en déplacement ou en vitesse (base modale);—
LIAISON;POLYNOMIALE;Liaison polynomiale (base modale);—
LIAISON;NEWMARK MODAL;Liaison de Newmark en base modale (PASAPAS uniquement);—
CHARGEMENT;PRESSION;Chargement de pression sur une surface orientée;Model.follower_pressure (p) — charge suiveuse, direction recalculée à chaque résidu
